Inference for Bugs model at "model_0.bug", fit using jags,
 3 chains, each with 2e+05 iterations (first 1e+05 discarded), n.thin = 100
 n.sims = 3000 iterations saved
             mu.vect sd.vect     2.5%      25%      50%      75%
L0_mean       58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,19]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,19]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,19]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,19]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,19]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,19]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,20]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,20]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,20]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,20]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,20]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,20]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,20]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,21]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,21]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,21]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,21]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,21]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,21]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,21]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,22]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,22]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,22]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,22]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,22]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,22]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,22]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,23]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,23]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,23]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,23]   96.532   1.089   94.414   95.800   96.529   97.253
